ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0002758	innate immune response-activating signal transduction	4/13	261/15176	5.40959235786171e-05	0.00966370292215974	0.00727927405049213	CD14/PSMD12/PUM2/MAP3K1	4
GO:0002218	activation of innate immune response	4/13	267/15176	5.9105216649295e-05	0.00966370292215974	0.00727927405049213	CD14/PSMD12/PUM2/MAP3K1	4
GO:0045089	positive regulation of innate immune response	4/13	309/15176	0.000104233711775961	0.0113614745835798	0.00855813633528946	CD14/PSMD12/PUM2/MAP3K1	4
GO:0045088	regulation of innate immune response	4/13	373/15176	0.00021533684371828	0.0127381741356321	0.00959514806933175	CD14/PSMD12/PUM2/MAP3K1	4
GO:0031349	positive regulation of defense response	4/13	401/15176	0.000284120277944209	0.0127381741356321	0.00959514806933175	CD14/PSMD12/PUM2/MAP3K1	4
GO:0002221	pattern recognition receptor signaling pathway	3/13	159/15176	0.000298803986358705	0.0127381741356321	0.00959514806933175	CD14/PUM2/MAP3K1	3
GO:0002755	MyD88-dependent toll-like receptor signaling pathway	2/13	33/15176	0.00035234289803734	0.0127381741356321	0.00959514806933175	CD14/MAP3K1	2
GO:0002757	immune response-activating signal transduction	4/13	441/15176	0.000408231363621649	0.0127381741356321	0.00959514806933175	CD14/PSMD12/PUM2/MAP3K1	4
GO:0002283	neutrophil activation involved in immune response	4/13	464/15176	0.000495111582885009	0.0127381741356321	0.00959514806933175	CD14/PSMD12/OSTF1/LILRB3	4
GO:0043312	neutrophil degranulation	4/13	464/15176	0.000495111582885009	0.0127381741356321	0.00959514806933175	CD14/PSMD12/OSTF1/LILRB3	4
GO:0042119	neutrophil activation	4/13	467/15176	0.000507348746458293	0.0127381741356321	0.00959514806933175	CD14/PSMD12/OSTF1/LILRB3	4
GO:0036230	granulocyte activation	4/13	472/15176	0.000528225144756703	0.0127381741356321	0.00959514806933175	CD14/PSMD12/OSTF1/LILRB3	4
GO:0002764	immune response-regulating signaling pathway	4/13	474/15176	0.000536746034356453	0.0127381741356321	0.00959514806933175	CD14/PSMD12/PUM2/MAP3K1	4
GO:0002446	neutrophil mediated immunity	4/13	476/15176	0.0005453652535133	0.0127381741356321	0.00959514806933175	CD14/PSMD12/OSTF1/LILRB3	4
GO:0002253	activation of immune response	4/13	492/15176	0.000617939055420783	0.0134710714081731	0.0101472097521729	CD14/PSMD12/PUM2/MAP3K1	4
