rank	target	id	raw.score	p.value	top.motif.prop
1	TFCP2	Hsapiens-jolma2013-TFCP2-2	1.69297235336241	7.39682568769591e-15	0.351851851851852
2	MAX	M4465_1.02	1.23108339387777	4.15792207048782e-12	0.277777777777778
3	UW.Motif.0319	UW.Motif.0319	5.37485026011903	3.4397312021386e-11	0.314814814814815
4	UW.Motif.0443	UW.Motif.0443	6.64293180597007	6.96514153507225e-11	0.351851851851852
5	UW.Motif.0182	UW.Motif.0182	7.5633866454683	1.52552094783046e-10	0.462962962962963
6	ZBTB7A	Hsapiens-jolma2013-ZBTB7A	3.12673303717628	6.7017433539763e-10	0.351851851851852
7	GOT1	GOT1	0.902320487867543	9.73908118270204e-10	0.333333333333333
8	SCRT1	Hsapiens-jolma2013-SCRT1	10.541168727348	4.58785538877156e-09	0.185185185185185
9	UW.Motif.0447	UW.Motif.0447	3.0294907031773	1.25391678482209e-08	0.240740740740741
10	UW.Motif.0055	UW.Motif.0055	3.50734612683289	1.52847226437222e-08	0.388888888888889
11	UW.Motif.0434	UW.Motif.0434	5.38930926720941	1.53652594288486e-08	0.259259259259259
12	UW.Motif.0113	UW.Motif.0113	3.39526629008073	1.61334999637267e-08	0.351851851851852
13	UW.Motif.0260	UW.Motif.0260	4.06418999573676	1.68533756608829e-08	0.259259259259259
14	UW.Motif.0606	UW.Motif.0606	2.78855334082552	2.02019688425402e-08	0.240740740740741
15	CELF6	BRUNOL6	1.13502005789557	2.6325496988115e-08	0.240740740740741
16	UW.Motif.0042	UW.Motif.0042	10.0065959712315	2.7326723214868e-08	0
17	UW.Motif.0207	UW.Motif.0207	5.43006383770481	6.00651648270934e-08	0.388888888888889
18	UW.Motif.0079	UW.Motif.0079	7.05533824882821	6.47999025366515e-08	0.296296296296296
19	MYF6	Hsapiens-jolma2013-MYF6	6.93157473429281	7.07330718495016e-08	0.277777777777778
20	UW.Motif.0002	UW.Motif.0002	4.91938838885092	1.00293392861321e-07	0.333333333333333
21	CBX7	CBX7	1.48829706173606	1.09654937647015e-07	0.296296296296296
22	UW.Motif.0361	UW.Motif.0361	7.00985597889759	1.38853858804303e-07	0.333333333333333
23	UW.Motif.0480	UW.Motif.0480	3.98872264669649	1.61122963849251e-07	0.351851851851852
24	UW.Motif.0211	UW.Motif.0211	4.53633686719851	2.39407315167341e-07	0.407407407407407
25	UNCX	Hsapiens-jolma2013-UNCX	2.84216503920018	3.37654275609646e-07	0.222222222222222
26	GTF3C5	GTF3C5	1.14003430144638	3.60495326461934e-07	0.277777777777778
