PROBE_ID	GENOMICLOCATION	SYMBOL	sample01	sample02	sample03	sample04	sample05	sample06	sample07	sample08	sample09	sample10	sample11	sample12
ILMN_1713406	chr1:14494:14543:-	DKFZp434K1323	8.644607067	9.242283471	8.392751553	8.732413992	8.442491717	8.807687382	8.345699434	8.493265396	9.261217578	8.914862943	9.005625902	8.808698628
ILMN_1761068	chr1:14543:14589:-	DKFZp434K1323	7.52984812	8.056667785	7.347535042	7.555504646	7.462074035	7.718360744	7.441182854	7.560993598	8.059256492	7.976522452	7.88809444	7.78285635
ILMN_1785528	chr1:14600:14649:-	DKFZp434K1323	7.923617884	8.341916802	7.529712686	8.284322837	7.969948357	8.034542278	7.820495872	7.967568314	8.414111893	8.118540962	8.319841426	8.11751975
ILMN_3239735	chr1:15885:15934:-	DKFZp434K1323	6.280470302	6.052195942	6.072992529	6.199300925	6.116293263	6.311565995	6.149322117	6.023853741	6.481323778	6.417250737	6.285666498	6.328523434
ILMN_3248844	"chr1:16858:16880:-,chr1:16739:16765:-"	DKFZp434K1323	6.130697959	6.068453577	6.157388463	6.178841726	6.121833811	6.192979705	6.157125914	6.015786381	6.113764099	6.199066744	6.133951611	6.186476333
ILMN_1723732	chr1:34572:34621:-	FAM138B	5.844336027	6.035342035	5.966293439	5.922369105	5.970743184	5.966041849	6.004892779	5.892797712	5.755697251	5.852504028	5.804160966	5.903819089
ILMN_1661451	chr1:35872:35921:-	FAM138F	6.015784047	6.175458176	6.021308209	6.031254197	5.997677832	5.96234699	5.979918121	5.98085344	6.002021195	5.993286639	5.965482776	6.112092419
ILMN_1776601	chr1:69476:69525:+	OR4F5	5.898166446	5.851218191	5.897375575	5.920541149	6.008707105	5.968972097	5.825386616	5.958575167	5.947751161	5.985141067	5.984789007	5.840912991
ILMN_3234922	"chr1:140075:140076:-,chr1:139807:139847:-"	LOC729737	6.184767934	5.988931639	5.973783896	6.103869852	6.125753552	6.315709305	6.103220977	6.001729631	6.01892638	6.114986122	6.114639302	6.026214877
ILMN_1698164	chr1:140210:140259:-	LOC729737	6.021438582	6.105713066	6.00331636	6.107340672	6.00531336	6.092412113	6.064899899	5.925762563	5.915165986	5.90078493	6.120348404	6.100310474
ILMN_3205603	chr1:140334:140365:-	LOC729737	6.318791092	6.307014323	6.441892809	6.411640497	6.493477032	6.56161444	6.575091528	6.349904389	6.485472535	6.089282767	6.711515873	6.320623782
ILMN_1686514	chr1:140494:140543:-	LOC729737	5.974117201	5.96042541	5.931084496	5.860484568	5.943906061	5.890696978	5.942989608	5.909847158	5.894876536	5.925524925	5.843305027	6.010591082
ILMN_1665540	chr1:324468:324517:+	LOC100132287	6.573733163	6.171123687	6.318697842	6.309461985	6.364734603	6.470397629	6.47270853	6.052097096	6.268245039	6.247321318	6.52225823	6.292302439
ILMN_1776483	chr1:324469:324518:+	LOC100132287	6.602021427	6.244478445	6.353024925	6.227383182	6.302128379	6.586919619	6.553882585	6.109632112	6.462466769	6.398570175	6.45791993	6.377549364
ILMN_1682912	chr1:324673:324722:+	LOC100132287	6.091938842	5.884903316	6.023093705	6.003282894	6.068509998	6.093409063	6.079373038	5.993349973	6.020987459	6.104989166	6.197104005	5.9789237
ILMN_3239820	chr1:325223:325272:+	LOC100132287	6.040648406	6.056098983	5.98104149	6.027419715	6.033997117	6.057526156	5.988730344	6.046548956	6.084828076	6.054293996	5.966778031	5.990828709
ILMN_3242693	chr1:367928:367977:+	OR4F29	5.879660259	5.994580022	5.85382584	5.907883961	5.964539681	5.939293702	5.877714416	5.978008009	5.88573955	5.983647924	5.808419872	5.865341206
ILMN_1656772	"chr1:701709:701746:-,chr1:700617:700627:-"	LOC100288069	5.91881876	5.857476128	5.853246355	5.937668019	5.882796167	6.020611637	5.950612534	5.888588629	5.882144436	5.878755593	5.800275706	6.103288137
ILMN_1789965	chr1:704964:705013:-	LOC100288069	6.057328863	5.9424096	5.862932818	5.867015115	5.925570184	5.976855211	5.942290307	5.850868515	5.914623503	5.922602638	5.995551202	5.956840653
ILMN_1789086	chr1:708377:708425:-	LOC100288069	5.986077773	6.014534407	5.973780463	6.060001357	6.086591158	6.114864402	6.145727609	6.028557612	6.068939274	6.131906959	6.028902623	6.120817873
ILMN_3237598	chr1:761948:761997:-	RP11-206L10.16-001	5.864876288	5.922391873	5.97373137	5.89998339	5.959913896	5.970453143	5.902147502	5.900681467	5.877702491	5.916333937	5.920065893	5.898817851
ILMN_1702866	chr1:761968:762017:-	RP11-206L10.16-001	5.919164294	6.073350626	5.987023226	6.001549141	5.865715882	5.97023566	5.978024781	5.918305834	6.064281941	6.033367588	6.246571343	5.977661906
ILMN_1862963	chr1:787362:787411:+	LOC643837	5.951628572	5.921175233	5.972673927	5.920671871	5.997781997	6.020308516	6.039292025	5.986633176	6.024127939	6.005285314	6.089101814	6.025421967
ILMN_1745862	chr1:792487:792536:+	AK091100	6.034764267	5.864926267	5.944287161	5.842563769	6.055345855	5.957780114	5.872643609	5.915135416	5.929625464	5.887510975	5.904346737	5.896773854
ILMN_1716072	chr1:803588:803637:-	FAM41C	5.926888989	5.950320336	5.920851193	5.984245503	5.865630594	5.863859497	5.934286781	5.95961647	5.707791823	5.838545637	5.822863467	5.861112192
ILMN_1659421	chr1:803637:803685:-	FAM41C	5.851503139	5.867093113	5.826229158	5.952723843	5.8443886	5.883778145	5.743414479	5.779824659	5.855790363	5.825103884	5.895123807	5.834155538
ILMN_1771410	chr1:803877:803913:-	FAM41C	5.924868601	5.952870316	5.967421946	5.946461445	5.932309416	5.96802611	6.009452484	6.005135669	5.990713184	5.862217157	5.891022954	5.914664635
ILMN_3253404	chr1:852801:852850:-	FLJ39609	5.862264076	5.945324293	5.893454086	5.982254089	6.059866338	5.995205562	6.063975765	6.024504006	5.948980878	5.909559507	6.04050763	6.002628206
ILMN_3181507	chr1:855831:855880:-	FLJ39609	5.812828798	5.914920517	5.843783898	5.811397024	5.905860514	5.834628949	5.924599381	5.929806685	5.848348385	5.840877042	5.919285336	5.947356465
ILMN_2195138	"chr1:878411:878438:+,chr1:878633:878654:+"	SAMD11	6.061849283	5.966252718	6.185786962	5.979759155	6.144191876	6.101798267	6.139277508	6.132839333	6.011043795	6.054854261	6.02404605	6.051743116
ILMN_1709067	chr1:879456:879505:+	SAMD11	5.991287834	5.93548572	5.985195733	5.97857337	6.004782071	5.985090997	6.094507945	5.998069634	6.043223215	5.972607102	6.020240039	5.993425495
ILMN_1792820	"chr1:880898:880902:-,chr1:880482:880526:-"	NOC2L	5.946216345	5.892461059	5.925064802	5.980287947	6.004033433	6.051278272	5.97874598	6.042205858	6.078469465	5.983952199	5.946666799	6.020526058
ILMN_1749751	chr1:896002:896051:+	KLHL17	5.915144712	5.904413918	5.975691891	5.915792965	5.932020202	5.99585585	5.9717063	6.003610462	5.921275992	5.892566748	5.872943501	5.926659695
ILMN_1705602	chr1:900738:900787:+	KLHL17	5.99652291	6.075839151	6.013071226	5.909137168	6.083100867	6.088622066	5.985207314	6.117670376	6.13048471	6.102485777	6.14325445	6.016934821
ILMN_1711422	chr1:910284:910333:+	PLEKHN1	5.939589723	6.138428767	6.075783656	6.023665884	5.971345959	5.904892737	5.974042034	6.250028207	6.14734359	6.078261924	6.036996243	6.016285301
ILMN_1784186	chr1:910712:910761:-	C1orf170	5.994379515	6.053866673	6.001913969	5.95856233	6.077134615	6.136972161	6.059607422	6.049848485	5.881839864	5.927596857	6.013778793	5.968654138
ILMN_1653466	chr1:934356:934405:-	HES4	6.759355788	7.831156342	6.961585174	6.562778868	6.5799147	7.188801435	7.299766828	6.355896401	7.202876742	7.430140525	6.893743333	7.528033879
ILMN_2054019	chr1:949677:949726:+	ISG15	7.866110806	8.321635019	7.906445778	7.493565031	8.509412333	9.239273753	10.47811194	8.080032645	9.424907709	9.037036248	7.633264809	8.204678372
